title,url,description,skills,duration,platform,language,category,sub_category,skills_parsed,normalized_skills
version control,https://www.coursera.org/learn/introduction-to-version-control,"learn how modern software developers collaborate across the world without messing up each other s code. you will look at the different version control systems and how to create an effective software development workflow. you will be introduced to some of the most commonly used linux commands that you can use to work with files on your hard drive and create powerful workflows that will automate your work, saving you time and effort.","linux,web development,bash unix shell ,github,version control,",Approx. 13 hours to complete,coursera,english,computer science,mobile and web development,"['linux', 'web development', 'bash unix shell', 'github', 'version control']","['linux', 'web development', 'github', 'version control']"
innovation management,https://www.coursera.org/learn/innovation-management,"what is innovation management how do firms bring in new business models and get new products and services to the market go on a nine-week journey through innovation management concepts, theories of idea generation, selection, strategy formulation and implementation in this mooc in innovation management. in it, you will also learn the tools for implementing innovation projects yourself.","social network,management,innovation,innovation management,",Approx. 10 hours to complete,coursera,english,business,business strategy,"['social network', 'management', 'innovation', 'innovation management']","['innovation', 'innovation management']"
ai for medical diagnosis,https://www.coursera.org/learn/ai-for-medical-diagnosis,"ai is transforming the practice of medicine. it s helping doctors diagnose patients more accurately, make predictions about patients future health, and recommend better treatments. as an ai practitioner, you have the opportunity to join in this transformation of modern medicine. if you re already familiar with some of the math and coding behind ai algorithms, and are eager to develop your skills further to tackle challenges in the healthcare industry, then this specialization is for you. no prior medical expertise is required","deep learning,image segmentation,machine learning,model evaluation,multi-class classification,",Approx. 20 hours to complete,coursera,english,data science,machine learning,"['deep learning', 'image segmentation', 'machine learning', 'model evaluation', 'multi-class classification']","['deep learning', 'market segmentation', 'machine learning']"
write your first novel,https://www.coursera.org/learn/write-your-first-novel,write your first novel,"creative writing,novel writing,story telling,",Approx. 127 hours to complete,coursera,english,arts and humanities,music and art,"['creative writing', 'novel writing', 'story telling']",[]
social media management,https://www.coursera.org/learn/social-media-management,"this course equips you with critical content creation and management skills. you ll learn how to create effective social media posts and how to create a strong brand to help you build a social media presence. you ll also learn how to establish an ongoing process to manage your content. this includes setting up a content calendar, managing and moderating your posts, analyzing data for insights and iteration, and how to increase post effectiveness. you will end the course with real-world application of your skills through a content management project.","content development,content management,social media marketing,content marketing,marketing content development,",Approx. 11 hours to complete,coursera,english,business,marketing,"['content development', 'content management', 'social media marketing', 'content marketing', 'marketing content development']","['social media marketing', 'content marketing']"
"decisions, decisions dashboards and reports",https://www.coursera.org/learn/decisions-decisions-dashboards-and-reports,"you re almost there this is the third and final course in the google business intelligence certificate. in this course, you ll apply your understanding of stakeholder needs, plan and create bi visuals, and design reporting tools, including dashboards. you ll also explore how to answer business questions with flexible and interactive dashboards that can monitor data over long periods of time.","presenting data insights,tableau software,data visualization dataviz ,effective communication,dashboarding and reporting,",Approx. 27 hours to complete,coursera,english,data science,data analysis,"['presenting data insights', 'tableau software', 'data visualization dataviz', 'effective communication', 'dashboarding and reporting']",['reporting and dashboards']
covid-19 contact tracing,https://www.coursera.org/learn/covid-19-contact-tracing,"the covid-19 crisis has created an unprecedented need for contact tracing across the country, requiring thousands of people to learn key skills quickly. the job qualifications for contact tracing positions differ throughout the country and the world, with some new positions open to individuals with a high school diploma or equivalent.","ethics,active listening,public health,contact tracing,epidemiology,",Approx. 6 hours to complete,coursera,english,health,public health,"['ethics', 'active listening', 'public health', 'contact tracing', 'epidemiology']",['active listening']
introduction to hardware and operating systems,https://www.coursera.org/learn/introduction-to-hardware-and-operating-systems,"if you re ready to enter the world of information technology it , you need job-ready skills. this course provides the core hardware and operating system knowledge needed by anyone new to it and computer hardware who wants to start a new career in technology, including it support, networking, cybersecurity, and software development.","technical support,it service management itsm ,troubleshooting,it career,",Approx. 17 hours to complete,coursera,english,information technology,support and operations,"['technical support', 'it service management itsm', 'troubleshooting', 'it career']",['troubleshooting']
english for business and entrepreneurship,https://www.coursera.org/learn/business,"welcome to english for business and entrepreneurship, a course created by the university of pennsylvania, and funded by the u.s. department of state bureau of educational and cultural affairs, office of english language programs.","business plan,market research,english language,entrepreneurship,",Approx. 31 hours to complete,coursera,english,language learning,learning english,"['business plan', 'market research', 'english language', 'entrepreneurship']",['market research']
design thinking for the greater good innovation in the social sector,https://www.coursera.org/learn/uva-darden-design-thinking-social-sector,"do you work for a nonprofit or in the social sector are you struggling to solve the problems and meet the needs of the people you serve come learn more about how design thinking, a human-centered approach to problem solving, can help you truly understand an issue, generate ideas worth testing and iterate to find solutions that make a real difference. through global stories from areas as diverse as government, health care, and education, we ll show you the tools, techniques and mindset needed to use design thinking to uncover new and creative solutions in the social sector.","prototyping,problem solving,user-centered design,design thinking,social issues,",Approx. 8 hours to complete,coursera,english,social sciences,education,"['prototyping', 'problem solving', 'user-centered design', 'design thinking', 'social issues']","['prototyping', 'problem solving', 'user-centered design', 'design thinking']"
what is compliance,https://www.coursera.org/learn/what-is-compliance,"compliance isn t only about preventing problems and ensuring that everyone is abiding by laws, rules, and regulations. it s also about the positive impact a robust and ethical compliance program can have on a business or organization.","risk management,brand management,strategic planning,compliance,",Approx. 10 hours to complete,coursera,english,business,business essentials,"['risk management', 'brand management', 'strategic planning', 'compliance']","['risk management', 'brand management', 'strategic planning', 'compliance']"
hands-on introduction to linux commands and shell scripting,https://www.coursera.org/learn/hands-on-introduction-to-linux-commands-and-shell-scripting,"this course provides a practical introduction to linux and commonly used linux / unix shell commands. it teaches you the basics of bash shell scripting to automate a variety of tasks. the course includes both video-based lectures as well as hands-on labs to practice and apply what you learn. you will have no-charge access to a virtual linux server that you can access through your web browser, so you don t need to download and install anything to perform the labs.","shell script,bash unix shell ,linux,",Approx. 12 hours to complete,coursera,english,computer science,software development,"['shell script', 'bash unix shell', 'linux']","['shell scripting', 'linux']"
getting started with ai using ibm watson,https://www.coursera.org/learn/ai-with-ibm-watson,"in this course you will learn how to quickly and easily get started with artificial intelligence using ibm watson. you will understand how watson works, become familiar with its use cases and real life client examples, and be introduced to several of watson ai services from ibm that enable anyone to easily apply ai and build smart apps. you will also work with several watson services to demonstrate ai in action.","deep learning,application programming interfaces api ,artificial intelligence ai ,machine learning,watson,",Approx. 9 hours to complete,coursera,english,data science,machine learning,"['deep learning', 'application programming interfaces api', 'artificial intelligence ai', 'machine learning', 'watson']","['deep learning', 'machine learning']"
microsoft power platform fundamentals,https://www.coursera.org/learn/microsoft-power-platform-fundamentals,"in this course, you will learn the business value and product capabilities of power platform. you will create simple power apps, connect data with microsoft dataverse, build a power bi dashboard, automate a process with power automate, and build a chatbot with power virtual agents.","data analysis,business process,data visualization dataviz ,power bi,chatbot,",Approx. 25 hours to complete,coursera,english,information technology,cloud computing,"['data analysis', 'business process', 'data visualization dataviz', 'power bi', 'chatbot']","['data analysis', 'business process', 'power bi']"
machine learning introduction for everyone,https://www.coursera.org/learn/machine-learning-introduction-for-everyone,"this three-module course introduces machine learning and data science for everyone with a foundational understanding of machine learning models. you ll learn about the history of machine learning, applications of machine learning, the machine learning model lifecycle, and tools for machine learning. you ll also learn about supervised versus unsupervised learning, classification, regression, evaluating machine learning models, and more. our labs give you hands-on experience with these machine learning and data science concepts. you will develop concrete machine learning skills as well as create a final project demonstrating your proficiency.","deep learning,artificial intelligence ai ,machine learning,reinforcement learning,machine learning model lifecycle,",Approx. 7 hours to complete,coursera,english,data science,machine learning,"['deep learning', 'artificial intelligence ai', 'machine learning', 'reinforcement learning', 'machine learning model lifecycle']","['deep learning', 'machine learning', 'reinforcement learning']"
